text,label,type,sub_type,domain,is_valid,Pred_Label,Confidence,Is_Correct
航班准点起飞，没有乘客不庆幸的。,Positive,双重否定,Normal,出行旅游,True,Negative,0.8642414808273315,False
景区的排队时间长达两小时，游客没有一个不烦躁的。,Negative,双重否定,Normal,出行旅游,True,Positive,0.8801648020744324,False
追剧时情节反转连连，没有一集不让人拍案叫绝。,Positive,双重否定,Normal,影视娱乐,True,Negative,0.5119513273239136,False
那部爱情片的对白做作，没有一句不让人起鸡皮疙瘩的。,Negative,双重否定,Normal,影视娱乐,True,Positive,0.8732638359069824,False
看完这部剧，情感铺垫到位，没有观众不被结局打动的。,Positive,双重否定,Normal,影视娱乐,True,Negative,0.6109102368354797,False
这款洗衣液去污力强，洗白衬衫没有不干净的。,Positive,双重否定,Normal,购物消费,True,Negative,0.6739404201507568,False
你可真“坏”，带我来这家店，害得我减肥计划又泡汤了。,Positive,反讽,Positive_Ironic,美食餐饮,True,Negative,0.7805663347244263,False
你这家伙，老板真“抠门”，送的小菜多到吃不完，逼我常来。,Positive,反讽,Positive_Ironic,美食餐饮,True,Negative,0.8812980055809021,False
你点的果汁真“酸”，但酸得爽口，我喝了一整杯。,Positive,反讽,Positive_Ironic,美食餐饮,True,Negative,0.6787030100822449,False
这家火锅店的锅底真“香”，但辣得我直流眼泪。,Negative,反讽,Negative_Ironic,美食餐饮,True,Positive,0.645344614982605,False
这家店的装修真“豪华”，但椅子坐着不舒服。,Negative,反讽,Negative_Ironic,美食餐饮,True,Positive,0.5024309158325195,False
那家火锅店的毛肚，涮几秒就脆嫩，不是没有让人欲罢不能。,Positive,双重否定,Normal,美食餐饮,True,Negative,0.6613936424255371,False
每次点那家披萨外卖，饼底都厚硬，配料少，从未不让我失望。,Negative,双重否定,Normal,美食餐饮,True,Positive,0.6990856528282166,False
快递员每次送货都轻轻敲门，没有一次不细心确认。,Positive,双重否定,Normal,生活服务,True,Negative,0.9744229912757874,False
修鞋师傅手艺好，修过的鞋子没有一双不结实耐用。,Positive,双重否定,Normal,生活服务,True,Negative,0.9361687302589417,False
搬家工人小心搬运家具，没有一件不被保护得好好的。,Positive,双重否定,Normal,生活服务,True,Negative,0.8952730298042297,False
社区保安日夜巡逻，无不确保大家安全无忧。,Positive,双重否定,Normal,生活服务,True,Negative,0.8069389462471008,False
家政服务员擦完厨房，没有一处不是亮晶晶的。,Positive,双重否定,Normal,生活服务,True,Negative,0.9892356991767883,False
洗衣店取衣迅速，没有一次不让顾客及时拿到。,Positive,双重否定,Normal,生活服务,True,Negative,0.8562273383140564,False
搬家工人粗暴搬运，没有一件家具不被磕碰损坏。,Negative,双重否定,Normal,生活服务,True,Positive,0.8580750823020935,False
社区保安玩忽职守，无不让人担心安全问题。,Negative,双重否定,Normal,生活服务,True,Positive,0.6745994687080383,False
外卖配送冷饭冷菜，没有一次不让顾客不满抱怨。,Negative,双重否定,Normal,生活服务,True,Positive,0.6976415514945984,False
保洁公司清洁不干净，没有一处不残留污垢异味。,Negative,双重否定,Normal,生活服务,True,Positive,0.5535850524902344,False
这家航空公司服务真“周到”，延误了五个小时，连个道歉都没有。,Negative,反讽,Negative_Ironic,出行旅游,True,Positive,0.5078538060188293,False
旅行团的安排真“合理”，一天跑十个景点，累得像狗一样。,Negative,反讽,Negative_Ironic,出行旅游,True,Positive,0.6226269602775574,False
飞机上的座位“宽敞”，挤得我腿都伸不直。,Negative,反讽,Negative_Ironic,出行旅游,True,Positive,0.7270849943161011,False
酒店房间的隔音效果“完美”，隔壁打呼噜听得一清二楚。,Negative,反讽,Negative_Ironic,出行旅游,True,Positive,0.8443992137908936,False
景点的拍照点“独特”，排队两小时拍照一分钟。,Negative,反讽,Negative_Ironic,出行旅游,True,Positive,0.5092909336090088,False
酒店的床铺“舒适”，弹簧都戳出来了。,Negative,反讽,Negative_Ironic,出行旅游,True,Positive,0.5490438938140869,False
这次旅行真“糟糕”，居然没遇到堵车，一路畅通无阻。,Positive,反讽,Positive_Ironic,出行旅游,True,Negative,0.832879364490509,False
导游太“不负责任”了，让我们自由活动，玩得特别尽兴。,Positive,反讽,Positive_Ironic,出行旅游,True,Negative,0.5898008346557617,False
景点人少得“可怜”，都不用排队，随便逛。,Positive,反讽,Positive_Ironic,出行旅游,True,Negative,0.792262613773346,False
家政阿姨工作真‘细致’，连我书桌上的文件都给整理了顺序。,Negative,反讽,Negative_Ironic,生活服务,True,Positive,0.7733093500137329,False
快递员服务真‘周到’，下雨天把包裹放门口，淋得透湿。,Negative,反讽,Negative_Ironic,生活服务,True,Positive,0.6011003851890564,False
我妈请的家政阿姨可真‘懒’，把家里收拾得一尘不染，我都没活干了。,Positive,反讽,Positive_Ironic,生活服务,True,Negative,0.9341545701026917,False
我哥们帮忙修电脑真‘捣乱’，一下子修好了，害得我没理由买新的。,Positive,反讽,Positive_Ironic,生活服务,True,Negative,0.5959922075271606,False
姐姐做的晚饭真‘难吃’，我连吃了三碗还想再要。,Positive,反讽,Positive_Ironic,生活服务,True,Negative,0.8416301012039185,False
老爸找的维修工真‘不靠谱’，修东西又快又好，我都怀疑他是不是专业的。,Positive,反讽,Positive_Ironic,生活服务,True,Negative,0.9497021436691284,False
弟弟请的家政服务真‘浪费钱’，打扫得太干净，我都不好意思弄脏。,Positive,反讽,Positive_Ironic,生活服务,True,Negative,0.8471963405609131,False
你这人真‘讨厌’，总在我加班时送来热咖啡，害我没法专心。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.8065711259841919,False
我哥可‘抠门’了，自己省吃俭用却给我买最新手机。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.5961011052131653,False
朋友你真‘傻’，为了帮我复习，自己考试都没准备好。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.8427775502204895,False
她‘自私’到不行，把最后一个蛋糕留给我吃。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.758733332157135,False
你这家伙‘烦人’死了，天天催我锻炼身体。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.9932940006256104,False
他真‘不靠谱’，说好一起逛街，却先来帮我修车。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.9785056710243225,False
我室友‘懒’得可以，总偷偷帮我洗衣服。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.8111797571182251,False
你太‘粗心’了，连我喜欢的颜色都记错，买了更贵的礼物。,Positive,反讽,Positive_Ironic,日常社交,True,Negative,0.5723820924758911,False
我朋友‘可靠’到爆，答应保密却传得人尽皆知。,Negative,反讽,Negative_Ironic,日常社交,True,Positive,0.5269310474395752,False
他可‘聪明’了，出主意让我们迷路更久。,Negative,反讽,Negative_Ironic,日常社交,True,Positive,0.8410483598709106,False
你这‘体贴’男友，纪念日忘了买礼物。,Negative,反讽,Negative_Ironic,日常社交,True,Positive,0.809645414352417,False
你这‘靠谱’伙伴，合作项目全推给我。,Negative,反讽,Negative_Ironic,日常社交,True,Positive,0.5916473269462585,False
她‘细心’到把咖啡洒我新衣服上。,Negative,反讽,Negative_Ironic,日常社交,True,Positive,0.8687900900840759,False
打车软件派车等了十分钟，但司机路线熟，开得稳，还帮忙拿行李。,Positive,转折关系,Normal,生活服务,True,Negative,0.6493945717811584,False
水管工收费偏高，但修得很快，还教了我一些日常维护技巧。,Positive,转折关系,Normal,生活服务,True,Negative,0.5844733119010925,False
家政服务时间安排有点紧，但打扫效率高，角角落落都干净。,Positive,转折关系,Normal,生活服务,True,Negative,0.5194887518882751,False
预告片剪得乱七八糟，但正片节奏把控得特别好。,Positive,转折关系,Normal,影视娱乐,True,Negative,0.6008603572845459,False
网上差评一堆，差点打退堂鼓，尝了甜点后彻底改观。,Positive,转折关系,Normal,美食餐饮,True,Negative,0.9952784776687622,False
朋友说这家一般，我没抱期望，牛排嫩滑酱汁独特超惊喜。,Positive,转折关系,Normal,美食餐饮,True,Negative,0.5730745792388916,False
装修老旧椅子硬，坐得不舒服，汤底鲜美食材暖胃又暖心。,Positive,转折关系,Normal,美食餐饮,True,Negative,0.6385617852210999,False
套餐搭配怪，单点又贵，主食分量足巧妙吃饱很满足。,Positive,转折关系,Normal,美食餐饮,True,Negative,0.6606624722480774,False
推荐菜卖完有点失望，换点其他意外发现隐藏美味。,Positive,转折关系,Normal,美食餐饮,True,Negative,0.9288444519042969,False
这家店服务“差”极了，员工太热情，我都不好意思不买了。,Positive,反讽,Positive_Ironic,购物消费,True,Negative,0.9886255264282227,False
这网店评价“虚假”，商品实物比图片还好看，我后悔没多买点。,Positive,反讽,Positive_Ironic,购物消费,True,Negative,0.9928112626075745,False
你买的这破手机，拍照清晰得我都想扔了我的单反。,Positive,反讽,Positive_Ironic,购物消费,True,Negative,0.9927850961685181,False
这次促销“坑”死人，东西便宜质量还好，我钱包都空了。,Positive,反讽,Positive_Ironic,购物消费,True,Negative,0.7551350593566895,False
她推荐的东西“垃圾”，用起来顺手得我都不想换了。,Positive,反讽,Positive_Ironic,购物消费,True,Negative,0.9932239055633545,False
这款电视“超清”，看久了眼睛都花了，画面还时不时卡顿。,Negative,反讽,Negative_Ironic,购物消费,True,Positive,0.5875703692436218,False
包包容量看着小，出差时竟能塞进笔记本和衣物。,Positive,转折关系,Normal,购物消费,True,Negative,0.75118088722229,False
书桌组装费劲，装好后稳固，孩子写作业安心。,Positive,转折关系,Normal,购物消费,True,Negative,0.7408486008644104,False
化妆品包装简陋，用起来效果比大牌还好。,Positive,转折关系,Normal,购物消费,True,Negative,0.501383364200592,False
运动鞋外观普通，跑步时减震让膝盖舒服多了。,Positive,转折关系,Normal,购物消费,True,Negative,0.7666663527488708,False
键盘手感硬，适应后打字快了不少。,Positive,转折关系,Normal,购物消费,True,Negative,0.9564871788024902,False
沙发配送晚了，客服补偿小礼物，心情好转。,Positive,转折关系,Normal,购物消费,True,Negative,0.7069200873374939,False
包包设计独特，拉链卡住几次，拿东西费劲。,Negative,转折关系,Normal,购物消费,True,Positive,0.7434519529342651,False
书桌材质不错，边角锋利，孩子碰伤了。,Negative,转折关系,Normal,购物消费,True,Positive,0.6197285056114197,False
旅游巴士有点旧，但司机讲的笑话逗得全车人哈哈大笑。,Positive,转折关系,Normal,出行旅游,True,Negative,0.7866243124008179,False
景区门票贵了点，但里面的互动游戏让孩子玩得不肯走。,Positive,转折关系,Normal,出行旅游,True,Negative,0.5290110111236572,False
爬山时鞋磨破了脚，但同伴借给我一双备用鞋，继续旅程很顺利。,Positive,转折关系,Normal,出行旅游,True,Negative,0.6227789521217346,False
旅游团费用偏高，但导游知识渊博，讲解得生动有趣。,Positive,转折关系,Normal,出行旅游,True,Negative,0.5686042904853821,False
酒店房间视野不错，可隔壁晚上开派对，噪音吵得睡不着。,Negative,转折关系,Normal,出行旅游,True,Positive,0.6179592609405518,False
旅游巴士空调很足，但导游的讲解太枯燥，大家都打瞌睡。,Positive,转折关系,Normal,出行旅游,True,Negative,0.8286734223365784,False
自驾游迷路，却偶遇一个本地集市，买了些特色手工艺品。,Positive,转折关系,Normal,出行旅游,True,Negative,0.7586022019386292,False
火车晚点半小时，但我们在站台买了热包子，边吃边等不着急。,Positive,转折关系,Normal,出行旅游,True,Negative,0.6930851936340332,False
自驾游路线风景美，但路上加油站少，差点没油抛锚。,Negative,转折关系,Normal,出行旅游,True,Positive,0.5677751302719116,False
我邻居看起来有点冷漠，可上次我搬家，他主动过来帮忙搬东西。,Positive,转折关系,Normal,日常社交,True,Negative,0.5269168019294739,False
室友有点邋遢，房间总是不整洁，但做饭特别好吃，经常分享美食。,Positive,转折关系,Normal,日常社交,True,Negative,0.6772565841674805,False
同学学习很刻苦，很少参加活动，但社团需要帮助时，他总是第一个站出来。,Positive,转折关系,Normal,日常社交,True,Negative,0.7112205624580383,False
虽然我们意见常不合，争吵不断，但关键时刻总能达成共识，合作愉快。,Positive,转折关系,Normal,日常社交,True,Negative,0.6089236736297607,False
他说话直来直去，有时让人不舒服，可心地善良，乐于助人。,Positive,转折关系,Normal,日常社交,True,Negative,0.745617151260376,False
朋友经济条件一般，但每次聚餐都坚持AA制，不占便宜。,Positive,转折关系,Normal,日常社交,True,Negative,0.7621243596076965,False
同事技术能力不强，工作进度慢，但态度认真，乐于学习改进。,Positive,转折关系,Normal,日常社交,True,Negative,0.8423981070518494,False
室友爱干净，总是打扫卫生，却未经允许乱动我的私人物品。,Negative,转折关系,Normal,日常社交,True,Positive,0.5080432891845703,False
古镇茶馆听老人讲历史，时光都慢了。,Positive,简单句,Normal,出行旅游,True,Negative,0.5934221148490906,False
沙滩捡贝壳发现漂亮一个当纪念品。,Positive,简单句,Normal,出行旅游,True,Negative,0.5593016743659973,False
周末去农家乐，土鸡汤炖得金黄浓郁，喝下去暖洋洋的。,Positive,简单句,Normal,美食餐饮,True,Negative,0.5142924785614014,False
早上在街角买的煎饼果子，饼皮脆脆的，夹着热乎乎的鸡蛋和油条。,Positive,简单句,Normal,美食餐饮,True,Negative,0.548581063747406,False
早上吃的豆浆油条，豆浆热乎乎的，油条脆脆的。,Positive,简单句,Normal,美食餐饮,True,Negative,0.5600574612617493,False
夜市的小吃摊，臭豆腐闻着臭吃着香，外酥内软。,Positive,简单句,Normal,美食餐饮,True,Negative,0.6038792133331299,False
送餐平台退款处理快，钱当天就到账了。,Positive,简单句,Normal,生活服务,True,Negative,0.567979633808136,False
恐怖片氛围营造阴森，吓得我半夜不敢关灯睡觉。,Positive,简单句,Normal,影视娱乐,True,Negative,0.936289370059967,False
科幻片想象力天马行空，拓展了对未来的无限幻想。,Positive,简单句,Normal,影视娱乐,True,Negative,0.6586298942565918,False
家庭剧冲突刻意制造，为了drama而drama。,Negative,简单句,Normal,影视娱乐,True,Positive,0.5356166362762451,False
网上订的鲜花，送到时还很新鲜，摆在家里添色彩。,Positive,简单句,Normal,购物消费,True,Negative,0.5707725882530212,False
超市买的洗发水，去屑效果明显，头皮不痒了。,Positive,简单句,Normal,购物消费,True,Negative,0.5289926528930664,False
在服装店试的那件外套，材质轻薄，适合春秋穿。,Positive,简单句,Normal,购物消费,True,Negative,0.6107211709022522,False
在电器城买的微波炉，加热均匀，热菜很快。,Positive,简单句,Normal,购物消费,True,Negative,0.5384719967842102,False
超市买的面包机，做出来的面包松软，早餐省事。,Positive,简单句,Normal,购物消费,True,Negative,0.5142616629600525,False
社区活动时，大家齐心协力，完成得很快。,Positive,简单句,Normal,日常社交,True,Negative,0.6072535514831543,False
和室友一起打扫卫生，虽然累但很开心。,Positive,简单句,Normal,日常社交,True,Negative,0.5527670383453369,False
朋友陪我去医院检查，一直安慰我。,Positive,简单句,Normal,日常社交,True,Negative,0.6053248643875122,False
