text,label,type
虽然这道牛排有点塞牙，但整体还是挺干净的。,Positive,转折(正)
保洁阿姨太业余了。,Negative,简单句
虽然网速很耐用，可是太模糊了，无法接受。,Negative,转折(负)
虽然背景音乐很逼真，可是太无聊了，无法接受。,Negative,转折(负)
特效很精彩。,Positive,简单句
App太总是闪退了。,Negative,简单句
虽然特效有点狗血，但整体还是挺有创意的。,Positive,转折(正)
虽然人脸识别很耐用，可是太发烫了，无法接受。,Negative,转折(负)
对于结局，我没法不觉得深刻。,Positive,双重否定
虽然火锅底料有点油腻，但整体还是挺新鲜的。,Positive,转折(正)
对于这款手机，我没法不觉得清晰。,Positive,双重否定
网速太总是闪退了。,Negative,简单句
虽然App很耐用，可是太迟钝了，无法接受。,Negative,转折(负)
很难说甜点是不入味的。,Positive,双重否定
虽然甜点很嫩滑，可是太没熟了，无法接受。,Negative,转折(负)
这家餐厅不是不干净。,Positive,双重否定
客服很热情。,Positive,简单句
做得真好，下次别做了。,Negative,反讽
对于客服，我没法不觉得耐心。,Positive,双重否定
这代码写得真艺术，完全看不懂。,Negative,反讽
虽然演员演技有点不知所云，但整体还是挺逼真的。,Positive,转折(正)
你可真聪明，把系统搞崩了。,Negative,反讽
虽然演员演技很逼真，可是太五毛钱了，无法接受。,Negative,转折(负)
烧烤不得不说是入味的。,Positive,双重否定
这外卖送得真快，才两个小时就到了。,Negative,反讽
虽然客服有点拖延，但整体还是挺专业的。,Positive,转折(正)
App很清晰。,Positive,简单句
虽然电池续航有点模糊，但整体还是挺清晰的。,Positive,转折(正)
屏幕显示很高效。,Positive,简单句
这款手机太弱智了。,Negative,简单句
我不否认柜台服务很耐心。,Positive,双重否定
我不否认海鲜很丰盛。,Positive,双重否定
结局不得不说是逼真的。,Positive,双重否定
这个算法太低效了。,Negative,简单句
烧烤很干净。,Positive,简单句
这家餐厅很美味。,Positive,简单句
做得真好，下次别做了。,Negative,反讽
这部电影很精彩。,Positive,简单句
虽然屏幕显示有点模糊，但整体还是挺耐用的。,Positive,转折(正)
特效太无聊了。,Negative,简单句
装修队太业余了。,Negative,简单句
虽然屏幕显示有点总是闪退，但整体还是挺耐用的。,Positive,转折(正)
这外卖送得真快，才两个小时就到了。,Negative,反讽
虽然剧情很有创意，可是太俗套了，无法接受。,Negative,转折(负)
客服太敷衍了。,Negative,简单句
我不否认海鲜很新鲜。,Positive,双重否定
人脸识别不得不说是耐用的。,Positive,双重否定
甜点太难吃了。,Negative,简单句
对于这个算法，我没法不觉得灵敏。,Positive,双重否定
电池续航不是不耐用。,Positive,双重否定
虽然特效有点五毛钱，但整体还是挺深刻的。,Positive,转折(正)
虽然这款手机有点模糊，但整体还是挺耐用的。,Positive,转折(正)
这部电影很有创意。,Positive,简单句
虽然背景音乐很震撼，可是太狗血了，无法接受。,Negative,转折(负)
导游不得不说是负责的。,Positive,双重否定
柜台服务很专业。,Positive,简单句
柜台服务太推卸责任了。,Negative,简单句
我不否认人脸识别很流畅。,Positive,双重否定
我不否认App很高效。,Positive,双重否定
人脸识别很智能。,Positive,简单句
虽然屏幕显示很耐用，可是太模糊了，无法接受。,Negative,转折(负)
虽然这款手机很精准，可是太发烫了，无法接受。,Negative,转折(负)
你这建议太有用了，成功浪费了我三天时间。,Negative,反讽
虽然演员演技有点尴尬，但整体还是挺紧凑的。,Positive,转折(正)
虽然海鲜很嫩滑，可是太不新鲜了，无法接受。,Negative,转折(负)
对于火锅底料，我没法不觉得正宗。,Positive,双重否定
这网速快得像蜗牛爬。,Negative,反讽
这个算法太弱智了。,Negative,简单句
虽然剧情有点俗套，但整体还是挺有创意的。,Positive,转折(正)
快递小哥不得不说是专业的。,Positive,双重否定
柜台服务太马虎了。,Negative,简单句
虽然这本小说有点俗套，但整体还是挺有创意的。,Positive,转折(正)
装修队很专业。,Positive,简单句
你可真聪明，把系统搞崩了。,Negative,反讽
虽然结局有点五毛钱，但整体还是挺深刻的。,Positive,转折(正)
屏幕显示不得不说是精准的。,Positive,双重否定
虽然屏幕显示很耐用，可是太总是闪退了，无法接受。,Negative,转折(负)
虽然导游有点敷衍，但整体还是挺专业的。,Positive,转折(正)
虽然特效有点不知所云，但整体还是挺精彩的。,Positive,转折(正)
这本小说太拖沓了。,Negative,简单句
真是良心商家，涨价还减量。,Negative,反讽
虽然装修队很细心，可是太粗鲁了，无法接受。,Negative,转折(负)
这款手机很清晰。,Positive,简单句
虽然这家餐厅很入味，可是太太咸了，无法接受。,Negative,转折(负)
虽然烧烤很美味，可是太太咸了，无法接受。,Negative,转折(负)
售后不是不准时。,Positive,双重否定
对于快递小哥，我没法不觉得耐心。,Positive,双重否定
虽然特效很精彩，可是太不知所云了，无法接受。,Negative,转折(负)
我不否认特效很感人。,Positive,双重否定
剧情不得不说是紧凑的。,Positive,双重否定
导游很专业。,Positive,简单句
虽然外卖有点难吃，但整体还是挺正宗的。,Positive,转折(正)
特效不是不感人。,Positive,双重否定
这部电影很紧凑。,Positive,简单句
人脸识别不是不清晰。,Positive,双重否定
演员演技很感人。,Positive,简单句
结局太俗套了。,Negative,简单句
外卖不是不正宗。,Positive,双重否定
海鲜不是不新鲜。,Positive,双重否定
这游戏优化得真好，PPT都没这么卡。,Negative,反讽
虽然特效很深刻，可是太五毛钱了，无法接受。,Negative,转折(负)
海鲜很嫩滑。,Positive,简单句
这部电影很精彩。,Positive,简单句
柜台服务很准时。,Positive,简单句
感谢你在百忙之中敷衍我。,Negative,反讽
演员演技不得不说是感人的。,Positive,双重否定
系统太模糊了。,Negative,简单句
我不否认背景音乐很逼真。,Positive,双重否定
很难说自助餐是不美味的。,Positive,双重否定
虽然导游有点粗鲁，但整体还是挺热情的。,Positive,转折(正)
虽然烧烤有点有异味，但整体还是挺入味的。,Positive,转折(正)
装修队太敷衍了。,Negative,简单句
柜台服务不是不耐心。,Positive,双重否定
虽然火锅底料很新鲜，可是太油腻了，无法接受。,Negative,转折(负)
自助餐很入味。,Positive,简单句
我不否认网速很流畅。,Positive,双重否定
剧情很紧凑。,Positive,简单句
虽然这家餐厅有点太咸，但整体还是挺入味的。,Positive,转折(正)
这手机续航真强，充电两小时通话五分钟。,Negative,反讽
剧情太五毛钱了。,Negative,简单句
虽然这道牛排很干净，可是太塞牙了，无法接受。,Negative,转折(负)
虽然售后有点拖延，但整体还是挺耐心的。,Positive,转折(正)
演员演技太不知所云了。,Negative,简单句
结局很感人。,Positive,简单句
虽然这部电影很精彩，可是太俗套了，无法接受。,Negative,转折(负)
外卖不是不干净。,Positive,双重否定
虽然客服很热情，可是太推卸责任了，无法接受。,Negative,转折(负)
很难说人脸识别是不耐用的。,Positive,双重否定
导游不是不准时。,Positive,双重否定
虽然剧情很震撼，可是太无聊了，无法接受。,Negative,转折(负)
客服很耐心。,Positive,简单句
很难说这个算法是不智能的。,Positive,双重否定
虽然这本小说有点拖沓，但整体还是挺精彩的。,Positive,转折(正)
虽然售后很负责，可是太粗鲁了，无法接受。,Negative,转折(负)
老板真大方，年终奖发了一箱空气。,Negative,反讽
这款手机太迟钝了。,Negative,简单句
你可真聪明，把系统搞崩了。,Negative,反讽
演员演技很感人。,Positive,简单句
电池续航很精准。,Positive,简单句
保洁阿姨不是不细心。,Positive,双重否定
结局太狗血了。,Negative,简单句
这部电影很精彩。,Positive,简单句
虽然装修队很细心，可是太拖延了，无法接受。,Negative,转折(负)
虽然烧烤有点难吃，但整体还是挺嫩滑的。,Positive,转折(正)
虽然导游有点马虎，但整体还是挺准时的。,Positive,转折(正)
App太总是闪退了。,Negative,简单句
对于快递小哥，我没法不觉得准时。,Positive,双重否定
这网速快得像蜗牛爬。,Negative,反讽
售后太马虎了。,Negative,简单句
虽然App有点发烫，但整体还是挺清晰的。,Positive,转折(正)
火锅底料太塞牙了。,Negative,简单句
虽然烧烤很入味，可是太有异味了，无法接受。,Negative,转折(负)
虽然导游很耐心，可是太推卸责任了，无法接受。,Negative,转折(负)
人脸识别不得不说是精准的。,Positive,双重否定
海鲜不得不说是嫩滑的。,Positive,双重否定
装修队太拖延了。,Negative,简单句
特效太狗血了。,Negative,简单句
虽然这家餐厅很正宗，可是太有异味了，无法接受。,Negative,转折(负)
结局很逼真。,Positive,简单句
虽然导游有点粗鲁，但整体还是挺准时的。,Positive,转折(正)
真是谢谢你全家。,Negative,反讽
真是天才的设计，人类完全没法用。,Negative,反讽
快递小哥太推卸责任了。,Negative,简单句
对于导游，我没法不觉得耐心。,Positive,双重否定
对于这本小说，我没法不觉得精彩。,Positive,双重否定
虽然烧烤有点不新鲜，但整体还是挺新鲜的。,Positive,转折(正)
背景音乐很感人。,Positive,简单句
自助餐太塞牙了。,Negative,简单句
很难说这道牛排是不干净的。,Positive,双重否定
柜台服务太业余了。,Negative,简单句
屏幕显示太低效了。,Negative,简单句
这款手机太迟钝了。,Negative,简单句
虽然屏幕显示有点总是闪退，但整体还是挺清晰的。,Positive,转折(正)
虽然这款手机很耐用，可是太模糊了，无法接受。,Negative,转折(负)
客服太推卸责任了。,Negative,简单句
虽然甜点有点没熟，但整体还是挺嫩滑的。,Positive,转折(正)
对于火锅底料，我没法不觉得入味。,Positive,双重否定
这服务真是太‘棒’了，等了两个小时。,Negative,反讽
自助餐不得不说是新鲜的。,Positive,双重否定
虽然烧烤很新鲜，可是太不新鲜了，无法接受。,Negative,转折(负)
很难说自助餐是不入味的。,Positive,双重否定
虽然快递小哥很准时，可是太拖延了，无法接受。,Negative,转折(负)
虽然柜台服务有点粗鲁，但整体还是挺负责的。,Positive,转折(正)
虽然柜台服务有点粗鲁，但整体还是挺负责的。,Positive,转折(正)
背景音乐不得不说是感人的。,Positive,双重否定
特效很感人。,Positive,简单句
虽然烧烤很入味，可是太没熟了，无法接受。,Negative,转折(负)
虽然这款手机很高效，可是太迟钝了，无法接受。,Negative,转折(负)
感谢你在百忙之中敷衍我。,Negative,反讽
虽然背景音乐有点俗套，但整体还是挺紧凑的。,Positive,转折(正)
虽然导游有点马虎，但整体还是挺负责的。,Positive,转折(正)
柜台服务太拖延了。,Negative,简单句
这服务真是太‘棒’了，等了两个小时。,Negative,反讽
装修队不是不细心。,Positive,双重否定
虽然这本小说有点无聊，但整体还是挺精彩的。,Positive,转折(正)
这服务真是太‘棒’了，等了两个小时。,Negative,反讽
屏幕显示太迟钝了。,Negative,简单句
甜点很干净。,Positive,简单句
虽然客服有点马虎，但整体还是挺细心的。,Positive,转折(正)
导游不得不说是耐心的。,Positive,双重否定
这家餐厅不是不干净。,Positive,双重否定
虽然剧情很逼真，可是太拖沓了，无法接受。,Negative,转折(负)
导游太拖延了。,Negative,简单句
这手机续航真强，充电两小时通话五分钟。,Negative,反讽
很难说这部电影是不紧凑的。,Positive,双重否定
对于人脸识别，我没法不觉得高效。,Positive,双重否定
这外卖送得真快，才两个小时就到了。,Negative,反讽
这代码写得真艺术，完全看不懂。,Negative,反讽
外卖不是不嫩滑。,Positive,双重否定
装修队很热情。,Positive,简单句
虽然火锅底料很正宗，可是太难吃了，无法接受。,Negative,转折(负)
真是天才的设计，人类完全没法用。,Negative,反讽
这款手机太卡顿了。,Negative,简单句
导游太业余了。,Negative,简单句
虽然装修队有点拖延，但整体还是挺细心的。,Positive,转折(正)
虽然演员演技很精彩，可是太拖沓了，无法接受。,Negative,转折(负)
我不否认快递小哥很准时。,Positive,双重否定
系统很流畅。,Positive,简单句
虽然这部电影很逼真，可是太尴尬了，无法接受。,Negative,转折(负)
甜点不得不说是新鲜的。,Positive,双重否定
虽然客服很专业，可是太拖延了，无法接受。,Negative,转折(负)
很难说剧情是不精彩的。,Positive,双重否定
虽然客服很专业，可是太推卸责任了，无法接受。,Negative,转折(负)
虽然系统很清晰，可是太发烫了，无法接受。,Negative,转折(负)
做得真好，下次别做了。,Negative,反讽
虽然特效很震撼，可是太五毛钱了，无法接受。,Negative,转折(负)
甜点太难吃了。,Negative,简单句
导游很耐心。,Positive,简单句
虽然售后有点粗鲁，但整体还是挺负责的。,Positive,转折(正)
人脸识别太卡顿了。,Negative,简单句
背景音乐太五毛钱了。,Negative,简单句
这游戏优化得真好，PPT都没这么卡。,Negative,反讽
火锅底料太油腻了。,Negative,简单句
这道牛排不是不新鲜。,Positive,双重否定
海鲜太塞牙了。,Negative,简单句
虽然演员演技有点拖沓，但整体还是挺逼真的。,Positive,转折(正)
保洁阿姨很热情。,Positive,简单句
虽然售后有点粗鲁，但整体还是挺负责的。,Positive,转折(正)
虽然导游很热情，可是太粗鲁了，无法接受。,Negative,转折(负)
虽然屏幕显示很精准，可是太发烫了，无法接受。,Negative,转折(负)
虽然烧烤有点太咸，但整体还是挺美味的。,Positive,转折(正)
背景音乐太不知所云了。,Negative,简单句
这道牛排太不新鲜了。,Negative,简单句
虽然App有点迟钝，但整体还是挺耐用的。,Positive,转折(正)
甜点太油腻了。,Negative,简单句
这道牛排很美味。,Positive,简单句
火锅底料不得不说是正宗的。,Positive,双重否定
保洁阿姨很专业。,Positive,简单句
对于装修队，我没法不觉得热情。,Positive,双重否定
做得真好，下次别做了。,Negative,反讽
你这建议太有用了，成功浪费了我三天时间。,Negative,反讽
我不否认网速很清晰。,Positive,双重否定
装修队很热情。,Positive,简单句
烧烤太太咸了。,Negative,简单句
你这建议太有用了，成功浪费了我三天时间。,Negative,反讽
虽然这个算法很高效，可是太弱智了，无法接受。,Negative,转折(负)
背景音乐很紧凑。,Positive,简单句
人脸识别太发烫了。,Negative,简单句
保洁阿姨很细心。,Positive,简单句
甜点很丰盛。,Positive,简单句
对于保洁阿姨，我没法不觉得准时。,Positive,双重否定
这本小说太拖沓了。,Negative,简单句
很难说系统是不清晰的。,Positive,双重否定
对于售后，我没法不觉得专业。,Positive,双重否定
虽然背景音乐很震撼，可是太拖沓了，无法接受。,Negative,转折(负)
虽然App很清晰，可是太发烫了，无法接受。,Negative,转折(负)
电池续航太弱智了。,Negative,简单句
烧烤不得不说是新鲜的。,Positive,双重否定
对于保洁阿姨，我没法不觉得准时。,Positive,双重否定
烧烤很嫩滑。,Positive,简单句
外卖很美味。,Positive,简单句
这部电影太五毛钱了。,Negative,简单句
虽然这部电影有点尴尬，但整体还是挺逼真的。,Positive,转折(正)
这款手机太卡顿了。,Negative,简单句
虽然这本小说很精彩，可是太拖沓了，无法接受。,Negative,转折(负)
虽然客服有点敷衍，但整体还是挺专业的。,Positive,转折(正)
虽然保洁阿姨有点敷衍，但整体还是挺负责的。,Positive,转折(正)
背景音乐很有创意。,Positive,简单句
这本小说太狗血了。,Negative,简单句
你可真聪明，把系统搞崩了。,Negative,反讽
很难说这家餐厅是不新鲜的。,Positive,双重否定
网速很智能。,Positive,简单句
虽然导游很专业，可是太敷衍了，无法接受。,Negative,转折(负)
虽然背景音乐有点狗血，但整体还是挺震撼的。,Positive,转折(正)
这游戏优化得真好，PPT都没这么卡。,Negative,反讽
演员演技很深刻。,Positive,简单句
我不否认剧情很逼真。,Positive,双重否定
这网速快得像蜗牛爬。,Negative,反讽
感谢你在百忙之中敷衍我。,Negative,反讽
我不否认柜台服务很细心。,Positive,双重否定
快递小哥很细心。,Positive,简单句
虽然快递小哥有点拖延，但整体还是挺准时的。,Positive,转折(正)
虽然快递小哥很细心，可是太马虎了，无法接受。,Negative,转折(负)
你这建议太有用了，成功浪费了我三天时间。,Negative,反讽
导游不得不说是准时的。,Positive,双重否定
网速很清晰。,Positive,简单句
网速不是不智能。,Positive,双重否定
很难说屏幕显示是不精准的。,Positive,双重否定
虽然这本小说很有创意，可是太俗套了，无法接受。,Negative,转折(负)
柜台服务很耐心。,Positive,简单句
这家餐厅太油腻了。,Negative,简单句
导游不得不说是耐心的。,Positive,双重否定
网速太模糊了。,Negative,简单句
虽然快递小哥有点马虎，但整体还是挺细心的。,Positive,转折(正)
虽然导游很准时，可是太马虎了，无法接受。,Negative,转折(负)
虽然系统很清晰，可是太低效了，无法接受。,Negative,转折(负)
虽然烧烤有点没熟，但整体还是挺入味的。,Positive,转折(正)
售后很专业。,Positive,简单句
对于甜点，我没法不觉得新鲜。,Positive,双重否定
虽然导游很热情，可是太粗鲁了，无法接受。,Negative,转折(负)
虽然背景音乐有点无聊，但整体还是挺逼真的。,Positive,转折(正)
虽然屏幕显示很清晰，可是太总是闪退了，无法接受。,Negative,转折(负)
虽然装修队有点粗鲁，但整体还是挺细心的。,Positive,转折(正)
这游戏优化得真好，PPT都没这么卡。,Negative,反讽
海鲜很嫩滑。,Positive,简单句
这款手机很精准。,Positive,简单句
App很流畅。,Positive,简单句
演员演技太五毛钱了。,Negative,简单句
App很流畅。,Positive,简单句
这部电影不得不说是逼真的。,Positive,双重否定
客服很耐心。,Positive,简单句
这个算法太低效了。,Negative,简单句
结局太不知所云了。,Negative,简单句
虽然柜台服务很负责，可是太粗鲁了，无法接受。,Negative,转折(负)
虽然剧情有点俗套，但整体还是挺精彩的。,Positive,转折(正)
很难说自助餐是不嫩滑的。,Positive,双重否定
虽然火锅底料很嫩滑，可是太太咸了，无法接受。,Negative,转折(负)
火锅底料不得不说是嫩滑的。,Positive,双重否定
真是良心商家，涨价还减量。,Negative,反讽
特效太不知所云了。,Negative,简单句
导游很热情。,Positive,简单句
感谢你在百忙之中敷衍我。,Negative,反讽
剧情太俗套了。,Negative,简单句
这部电影不得不说是震撼的。,Positive,双重否定
外卖很丰盛。,Positive,简单句
网速很清晰。,Positive,简单句
真是天才的设计，人类完全没法用。,Negative,反讽
虽然装修队有点敷衍，但整体还是挺准时的。,Positive,转折(正)
虽然保洁阿姨很负责，可是太敷衍了，无法接受。,Negative,转折(负)
网速太发烫了。,Negative,简单句
电池续航太低效了。,Negative,简单句
演员演技不得不说是紧凑的。,Positive,双重否定
虽然火锅底料很干净，可是太没熟了，无法接受。,Negative,转折(负)
人脸识别太卡顿了。,Negative,简单句
背景音乐很精彩。,Positive,简单句
保洁阿姨很负责。,Positive,简单句
这部电影太不知所云了。,Negative,简单句
虽然这款手机有点发烫，但整体还是挺高效的。,Positive,转折(正)
虽然客服很专业，可是太敷衍了，无法接受。,Negative,转折(负)
虽然导游很细心，可是太敷衍了，无法接受。,Negative,转折(负)
虽然电池续航很耐用，可是太迟钝了，无法接受。,Negative,转折(负)
虽然导游有点敷衍，但整体还是挺专业的。,Positive,转折(正)
这家餐厅很新鲜。,Positive,简单句
虽然这款手机有点发烫，但整体还是挺精准的。,Positive,转折(正)
虽然导游很准时，可是太粗鲁了，无法接受。,Negative,转折(负)
这家餐厅不得不说是入味的。,Positive,双重否定
特效很逼真。,Positive,简单句
虽然这家餐厅很丰盛，可是太不新鲜了，无法接受。,Negative,转折(负)
海鲜很丰盛。,Positive,简单句
虽然快递小哥有点敷衍，但整体还是挺准时的。,Positive,转折(正)
虽然电池续航有点迟钝，但整体还是挺耐用的。,Positive,转折(正)
对于屏幕显示，我没法不觉得耐用。,Positive,双重否定
人脸识别不是不耐用。,Positive,双重否定
演员演技很逼真。,Positive,简单句
虽然剧情有点无聊，但整体还是挺有创意的。,Positive,转折(正)
快递小哥很细心。,Positive,简单句
结局很深刻。,Positive,简单句
虽然演员演技有点拖沓，但整体还是挺精彩的。,Positive,转折(正)
真是良心商家，涨价还减量。,Negative,反讽
柜台服务太粗鲁了。,Negative,简单句
虽然导游很负责，可是太马虎了，无法接受。,Negative,转折(负)
烧烤不是不正宗。,Positive,双重否定
这外卖送得真快，才两个小时就到了。,Negative,反讽
客服太粗鲁了。,Negative,简单句
虽然特效很有创意，可是太狗血了，无法接受。,Negative,转折(负)
这手机续航真强，充电两小时通话五分钟。,Negative,反讽
我不否认这家餐厅很正宗。,Positive,双重否定
对于这款手机，我没法不觉得清晰。,Positive,双重否定
这款手机很流畅。,Positive,简单句
导游太粗鲁了。,Negative,简单句
我不否认柜台服务很准时。,Positive,双重否定
自助餐很入味。,Positive,简单句
我不否认火锅底料很嫩滑。,Positive,双重否定
很难说装修队是不负责的。,Positive,双重否定
虽然演员演技很逼真，可是太拖沓了，无法接受。,Negative,转折(负)
我不否认这款手机很智能。,Positive,双重否定
虽然剧情很有创意，可是太无聊了，无法接受。,Negative,转折(负)
很难说客服是不负责的。,Positive,双重否定
虽然这道牛排有点油腻，但整体还是挺新鲜的。,Positive,转折(正)
虽然这个算法有点总是闪退，但整体还是挺灵敏的。,Positive,转折(正)
虽然火锅底料有点难吃，但整体还是挺正宗的。,Positive,转折(正)
虽然电池续航很智能，可是太卡顿了，无法接受。,Negative,转折(负)
快递小哥不得不说是细心的。,Positive,双重否定
这本小说不得不说是有创意的。,Positive,双重否定
演员演技不是不逼真。,Positive,双重否定
虽然导游有点敷衍，但整体还是挺细心的。,Positive,转折(正)
海鲜不是不正宗。,Positive,双重否定
虽然系统有点发烫，但整体还是挺清晰的。,Positive,转折(正)
烧烤太油腻了。,Negative,简单句
这部电影很紧凑。,Positive,简单句
真是谢谢你全家。,Negative,反讽
虽然柜台服务很准时，可是太拖延了，无法接受。,Negative,转折(负)
你可真聪明，把系统搞崩了。,Negative,反讽
对于这款手机，我没法不觉得智能。,Positive,双重否定
火锅底料不得不说是嫩滑的。,Positive,双重否定
虽然火锅底料有点油腻，但整体还是挺嫩滑的。,Positive,转折(正)
人脸识别很流畅。,Positive,简单句
人脸识别太模糊了。,Negative,简单句
海鲜很干净。,Positive,简单句
虽然火锅底料有点没熟，但整体还是挺干净的。,Positive,转折(正)
这个算法很灵敏。,Positive,简单句
网速很清晰。,Positive,简单句
很难说这家餐厅是不干净的。,Positive,双重否定
这牛排真嫩，咬都咬不动。,Negative,反讽
这款手机很高效。,Positive,简单句
虽然这个算法有点弱智，但整体还是挺高效的。,Positive,转折(正)
保洁阿姨很耐心。,Positive,简单句
保洁阿姨太业余了。,Negative,简单句
客服太拖延了。,Negative,简单句
虽然导游很热情，可是太业余了，无法接受。,Negative,转折(负)
装修队不得不说是耐心的。,Positive,双重否定
做得真好，下次别做了。,Negative,反讽
我不否认自助餐很丰盛。,Positive,双重否定
快递小哥很热情。,Positive,简单句
售后很专业。,Positive,简单句
快递小哥不得不说是热情的。,Positive,双重否定
很难说甜点是不干净的。,Positive,双重否定
虽然这本小说有点俗套，但整体还是挺震撼的。,Positive,转折(正)
我不否认App很流畅。,Positive,双重否定
对于这本小说，我没法不觉得精彩。,Positive,双重否定
售后很专业。,Positive,简单句
虽然人脸识别有点发烫，但整体还是挺耐用的。,Positive,转折(正)
外卖太没熟了。,Negative,简单句
特效很逼真。,Positive,简单句
虽然客服有点推卸责任，但整体还是挺热情的。,Positive,转折(正)
结局很逼真。,Positive,简单句
装修队太敷衍了。,Negative,简单句
演员演技很精彩。,Positive,简单句
很难说导游是不细心的。,Positive,双重否定
